,Gastric Cancer,Glioblastoma,Adult Acute Myeloid Leukemia,Cerebral Cavernous Malformation,Hepatocellular Carcinoma,Liver Cirrhosis,Intracranial Aneurysm,Lung Cancer,Bladder Cancer,Multiple Sclerosis,Colorectal Cancer,Hepatitis C,Esophageal Cancer,Cancer,Diffuse Large B-Cell Lymphoma,Lung Adenocarcinoma,Pancreatic Ductal Adenocarcinoma,COVID-19,Early Hepatocellular Carcinoma,Breast Cancer,Prostate Cancer,Autism Spectrum Disorder,Sarcoma,West Nile Virus Infection,Ovarian Cancer,Non-Small Cell Lung Cancer,Clear Cell Renal Cell Carcinoma,Uterine Leiomyoma,Bladder Carcinoma,B-Cell Lymphoma,Osteoporosis,Papillary Thyroid Carcinoma,Glioma,Acute Myeloid Leukemia,Chronic Lymphocytic Leukemia,Lung Carcinoma,Lung Non-Small Cell Carcinoma,Rheumatoid Arthritis,Adenocarcinoma,Systemic Lupus Erythematosus,Alzheimer Disease,Prader-Willi Syndrome,Colon Cancer,Osteosarcoma,Cervical Cancer,Head And Neck Squamous Cell Carcinoma,Malignant Pleural Mesothelioma,Astrocytoma,Malignant Glioma,Acute Promyelocytic Leukemia,Ameloblastoma,Tuberculosis,Pancreatic Cancer,Psoriatic Arthritis
Gastric Cancer,1.0,0.08300732946625299,0.09127458004935911,0.03303747534516761,0.23759224832403808,0.1022246941045606,0.0219298245614035,0.13825757575757575,0.14027459954233407,0.02419354838709675,0.32700311372814994,0.03388778550148956,0.4619027120103315,0.35556047851129813,0.0763175702571451,0.09003519011243667,0.14759770907355355,0.01298701298701295,0.23759224832403808,0.19490254872563714,0.11256005490734383,0.01298701298701295,0.0914285714285714,0.01973684210526315,0.11488801054018444,0.09484037889965147,0.09220203975284744,0.042397660818713406,0.115335292546086,0.08675044091710758,0.02166934189406095,0.08908045977011492,0.0833333333333333,0.09127458004935911,0.08122171945701354,0.10270023926170671,0.09484037889965147,0.0303030303030303,0.06154499151103565,0.0324324324324324,0.0241157556270096,0.02906976744186045,0.30237269552989404,0.08017097581317761,0.0907810899988622,0.1140326975476839,0.10319667921944538,0.09307311536400036,0.0833333333333333,0.081043956043956,0.052467532467532454,0.01298701298701295,0.24505928853754935,0.0214285714285714
Glioblastoma,0.08300732946625299,1.0,0.06562907213230548,0.06172188920360978,0.09193225519756132,0.01525423728813555,0.03211009174311925,0.07995904063275158,0.08253350809690922,0.0630252100840336,0.041226783746117296,0.01557093425605535,0.08760564047124923,0.3750603551565658,0.04218272380743607,0.08584379536020778,0.07472898524968896,0.0085324232081911,0.09193225519756132,0.1031236268102731,0.05377135748559239,0.0085324232081911,0.1809275245934551,0.01557093425605535,0.054150460108149105,0.06405837602856697,0.07885421007610814,0.04271899684743721,0.09057614303154413,0.06270726560144707,0.00758853288364245,0.06486802042077788,0.5995566658456775,0.06562907213230548,0.05502821108529701,0.08405021609384647,0.06405837602856697,0.0196850393700787,0.14383875400824553,0.02112676056338025,0.05067567567567565,0.02583586626139815,0.034805410672321874,0.053276121272863894,0.03656514823822467,0.10251623376623376,0.08081562933703425,0.8000438166179287,0.5995566658456775,0.04685393258426966,0.07853844609516158,0.0085324232081911,0.08789133435025787,0.0111111111111111
Adult Acute Myeloid Leukemia,0.09127458004935911,0.06562907213230548,1.0,0.05807783018867924,0.06387989402413892,0.0173076923076923,0.0102739726027397,0.08783731238821059,0.09052111410601975,0.0139751552795031,0.04470646032915744,0.01771653543307085,0.09528301886792451,0.4057723577235772,0.09358538191395958,0.05807079248671701,0.050848041919470455,0.00968992248062015,0.06387989402413892,0.1115110890433631,0.058632043702761344,0.00968992248062015,0.13232800387596894,0.01771653543307085,0.05777567807914627,0.04539579132413009,0.05420353982300885,0.05985247629083246,0.06423034330011071,0.13049450549450547,0.008604206500956,0.04772773211157522,0.10311139428692785,1.0,0.223576710692027,0.059072871572871534,0.04539579132413009,0.02167630057803465,0.08076923076923076,0.0234375,0.0114942528735632,0.0289115646258503,0.038671526763059724,0.06603685123540716,0.0399003421091774,0.07425228606796311,0.0792765108631193,0.08469968211477326,0.10311139428692785,0.7598422979442411,0.0974442829457364,0.00968992248062015,0.09566180674671239,0.01216216216216215
Cerebral Cavernous Malformation,0.03303747534516761,0.06172188920360978,0.05807783018867924,1.0,0.02601766513056835,0.0214285714285714,0.26677577741407527,0.03194546794399408,0.03277475991851776,0.0885240624497022,0.019155271872663172,0.01824817518248175,0.0363928439349112,0.12758458646616538,0.02940742924528302,0.024021864211737617,0.02394359642591213,0.0107913669064748,0.02601766513056835,0.04636406104017436,0.023742206756560816,0.0107913669064748,0.047556072788827744,0.04110009474372489,0.02519625952435925,0.016631731954202165,0.024115444214876,0.03626773711725166,0.022631057467123007,0.04016884531590411,0.01332149200710475,0.021730623015340563,0.031061637176745073,0.05807783018867924,0.03996940141518453,0.018999296322358413,0.016631731954202165,0.0245901639344262,0.028987517337031858,0.0264705882352941,0.11199754973455456,0.06800668267724758,0.020838035425150832,0.03219148001756695,0.017213626753795876,0.02368180780643688,0.02933265356351742,0.07988755430615892,0.031061637176745073,0.04172932330827067,0.047556072788827744,0.0107913669064748,0.036547853855546125,0.01538461538461535
Hepatocellular Carcinoma,0.23759224832403808,0.09193225519756132,0.06387989402413892,0.02601766513056835,1.0,0.22236805747444044,0.00735294117647055,0.0996417745935519,0.10045001607200255,0.0108108108108108,0.1251086767518692,0.05472367110121312,0.2420309653916211,0.32738095238095233,0.04329187518398583,0.2672321667111942,0.2726042502004811,0.00816993464052285,1.0,0.1508254854086734,0.07294621354027289,0.00816993464052285,0.17132950741272115,0.0149006622516556,0.0774943829574769,0.12180424318060261,0.24217305429483946,0.04188518781006374,0.1697178871548619,0.061343222645617854,0.005654281098546,0.21511300127463476,0.18298858004740354,0.06387989402413892,0.056155278478327436,0.1564873417721519,0.12180424318060261,0.0177664974619289,0.4341065560945079,0.01902173913043475,0.00809061488673135,0.0248538011695906,0.11480668891388116,0.05246963562753036,0.05184712019589052,0.21992656404462643,0.12911725955204217,0.12193877551020406,0.18298858004740354,0.047744784814884395,0.07329029172644665,0.00816993464052285,0.2530415506753273,0.0095693779904306
Liver Cirrhosis,0.1022246941045606,0.01525423728813555,0.0173076923076923,0.0214285714285714,0.22236805747444044,1.0,0.0158450704225352,0.02760736196319015,0.0290322580645161,0.01910828025477705,0.06508584022890723,0.09314073723261501,0.09835418038183014,0.03781512605042015,0.0129807692307692,0.01234567901234565,0.04045466457023058,0.012,0.22236805747444044,0.0290322580645161,0.01910828025477705,0.012,0.012,0.0203252032520325,0.0177514792899408,0.01505016722408025,0.01366120218579235,0.0158450704225352,0.01785714285714285,0.0161870503597122,0.014792899408284,0.0109375,0.012,0.0173076923076923,0.06476190476190472,0.01744186046511625,0.01505016722408025,0.0266272189349112,0.0079365079365079,0.0288461538461538,0.0177865612648221,0.03146853146853145,0.072066317201024,0.01394052044609665,0.0142405063291139,0.0048543689320388,0.02,0.01785714285714285,0.012,0.01459143968871595,0.012,0.012,0.07069892473118276,0.0165745856353591
Intracranial Aneurysm,0.0219298245614035,0.03211009174311925,0.0102739726027397,0.26677577741407527,0.00735294117647055,0.0158450704225352,1.0,0.02094972067039105,0.0219298245614035,0.06717463653879835,0.01,0.0161870503597122,0.0219298245614035,0.03148148148148145,0.0064212328767123,0.00702247191011235,0.00625,0.00886524822695035,0.00735294117647055,0.0219298245614035,0.0130057803468208,0.00886524822695035,0.00886524822695035,0.037729000473090885,0.01216216216216215,0.0090634441087613,0.00734094616639475,0.00949367088607595,0.0122282608695652,0.0096774193548387,0.00788091068301225,0.00568181818181815,0.00886524822695035,0.0102739726027397,0.01178010471204185,0.01196808510638295,0.0090634441087613,0.02027027027027025,0.00528169014084505,0.02180232558139535,0.09705152934692748,0.0326819407008086,0.01294964028776975,0.0074750830564784,0.0086206896551724,0.00293255131964805,0.0155601659751037,0.04891304347826085,0.00886524822695035,0.00778546712802765,0.00886524822695035,0.00886524822695035,0.0219298245614035,0.0114213197969543
Lung Cancer,0.13825757575757575,0.07995904063275158,0.08783731238821059,0.03194546794399408,0.0996417745935519,0.02760736196319015,0.02094972067039105,1.0,0.1364247311827957,0.02319587628865975,0.09617633828160142,0.01875,0.1496212121212121,0.3491960017383746,0.0733630142312777,0.5487212599309396,0.09019207931016675,0.08966526664121163,0.0996417745935519,0.1924019607843137,0.10992828328103987,0.01234567901234565,0.08844917977338065,0.01875,0.11263854283014002,0.6638682257381046,0.08944176340159124,0.04144647440736821,0.11274586939417779,0.08368095512082852,0.02061068702290075,0.08725735275361576,0.08009635651912071,0.08783731238821059,0.0786081201224933,0.6907548427192609,0.6638682257381046,0.029126213592233,0.05952578345216381,0.0310880829015544,0.02293577981651375,0.02777777777777775,0.08633935643467773,0.07722557461522814,0.08855908584169453,0.1124940659862331,0.3234732824427481,0.09004194500543729,0.08009635651912071,0.07784425186834153,0.051412142736343605,0.01234567901234565,0.15055841924398622,0.02064220183486235
Bladder Cancer,0.14027459954233407,0.08253350809690922,0.09052111410601975,0.03277475991851776,0.10045001607200255,0.0290322580645161,0.0219298245614035,0.1364247311827957,1.0,0.02419354838709675,0.09821821704288605,0.01973684210526315,0.15114848236259223,0.345004095004095,0.07575247079964058,0.08876108835417625,0.09134469120778821,0.01298701298701295,0.10045001607200255,0.19021739130434778,0.19175627240143367,0.01298701298701295,0.0901785714285714,0.01973684210526315,0.18825757575757573,0.09365415230840538,0.3350900836998156,0.04158544509421698,0.8578680203045685,0.0860326688815061,0.02166934189406095,0.08769282360831654,0.08266452648475117,0.09052111410601975,0.08084648493543756,0.10151401267046062,0.09365415230840538,0.0303030303030303,0.060732775786539225,0.0324324324324324,0.0241157556270096,0.02906976744186045,0.0872734636023084,0.07956002762158426,0.15775401069518716,0.11140111860031549,0.10193603376897474,0.09252827500222635,0.08266452648475117,0.08046471600688465,0.05121753246753245,0.01298701298701295,0.15196488294314375,0.0214285714285714
Multiple Sclerosis,0.02419354838709675,0.0630252100840336,0.0139751552795031,0.0885240624497022,0.0108108108108108,0.01910828025477705,0.06717463653879835,0.02319587628865975,0.02419354838709675,1.0,0.0136363636363636,0.0162337662337662,0.02419354838709675,0.03,0.0231661709386755,0.0103626943005181,0.01,0.0096153846153846,0.0108108108108108,0.02419354838709675,0.0159574468085106,0.0096153846153846,0.0096153846153846,0.027290277290277255,0.015,0.0124653739612188,0.01114413075780085,0.0130057803468208,0.0150753768844221,0.029391619661563225,0.0118858954041204,0.00916230366492145,0.0096153846153846,0.0139751552795031,0.030224548462331177,0.0147783251231527,0.0124653739612188,0.1539473684210526,0.00636942675159235,0.15889992360580596,0.09441707717569783,0.03862802641232571,0.0158940397350993,0.01132930513595165,0.0119047619047619,0.0040431266846361,0.017578125,0.07537688442211055,0.0096153846153846,0.0117554858934169,0.0096153846153846,0.0096153846153846,0.02419354838709675,0.0471698113207547
