,Gastric Cancer,Glioblastoma,Adult Acute Myeloid Leukemia,Cerebral Cavernous Malformation,Hepatocellular Carcinoma,Liver Cirrhosis,Intracranial Aneurysm,Lung Cancer,Bladder Cancer,Multiple Sclerosis,Colorectal Cancer,Hepatitis C,Esophageal Cancer,Cancer,Diffuse Large B-Cell Lymphoma,Lung Adenocarcinoma,Pancreatic Ductal Adenocarcinoma,COVID-19,Early Hepatocellular Carcinoma,Breast Cancer,Prostate Cancer,Autism Spectrum Disorder,Sarcoma,West Nile Virus Infection,Ovarian Cancer,Non-Small Cell Lung Cancer,Clear Cell Renal Cell Carcinoma,Uterine Leiomyoma,Bladder Carcinoma,B-Cell Lymphoma,Osteoporosis,Papillary Thyroid Carcinoma,Glioma,Acute Myeloid Leukemia,Chronic Lymphocytic Leukemia,Lung Carcinoma,Lung Non-Small Cell Carcinoma,Rheumatoid Arthritis,Adenocarcinoma,Systemic Lupus Erythematosus,Alzheimer Disease,Prader-Willi Syndrome,Colon Cancer,Osteosarcoma,Cervical Cancer,Head And Neck Squamous Cell Carcinoma,Malignant Pleural Mesothelioma,Astrocytoma,Malignant Glioma,Acute Promyelocytic Leukemia,Ameloblastoma,Tuberculosis,Pancreatic Cancer,Psoriatic Arthritis
Gastric Cancer,1.0,0.015873015873015872,0.025316455696202528,0.01282051282051282,0.18556701030927836,0.06896551724137931,0.0,0.06818181818181818,0.06315789473684211,0.0,0.3165829145728643,0.02830188679245283,0.4455445544554456,0.2786885245901639,0.018987341772151896,0.04918032786885246,0.1651376146788991,0.0,0.18556701030927836,0.1724137931034483,0.06382978723404255,0.0,0.04,0.0,0.0782608695652174,0.04122137404580153,0.04455445544554455,0.02631578947368421,0.06315789473684211,0.02469135802469136,0.0,0.059113300492610835,0.023809523809523808,0.025316455696202528,0.015384615384615384,0.04122137404580153,0.04122137404580153,0.0,0.02631578947368421,0.0,0.0,0.0,0.3115727002967359,0.022727272727272728,0.04787234042553192,0.1,0.04891304347826087,0.018633540372670808,0.023809523809523808,0.019230769230769232,0.04,0.0,0.2727272727272727,0.0
Glioblastoma,0.015873015873015872,1.0,0.055350553505535055,0.021276595744680847,0.06705539358600583,0.0,0.0,0.016286644951140065,0.014925373134328356,0.0,0.0084985835694051,0.0,0.02506963788300836,0.3266331658291457,0.033210332103321034,0.06542056074766353,0.05882352941176471,0.0,0.06705539358600583,0.0561056105610561,0.015105740181268885,0.0,0.10588235294117646,0.0,0.021686746987951807,0.005309734513274336,0.0584958217270195,0.05791505791505792,0.014925373134328356,0.053763440860215055,0.0,0.04709141274238227,0.6701030927835051,0.055350553505535055,0.02608695652173913,0.005309734513274336,0.005309734513274336,0.0,0.13513513513513514,0.0,0.0,0.0,0.00684931506849315,0.0488599348534202,0.00906344410876133,0.08571428571428572,0.021671826625387,0.7689530685920578,0.6701030927835051,0.033707865168539325,0.10588235294117646,0.0,0.02564102564102564,0.0
Adult Acute Myeloid Leukemia,0.025316455696202528,0.055350553505535055,1.0,0.08490566037735849,0.05813953488372093,0.0,0.0,0.025974025974025972,0.023809523809523808,0.0,0.01694915254237288,0.0,0.033333333333333326,0.34,0.08455882352941177,0.05590062111801242,0.05102040816326531,0.0,0.05813953488372093,0.06578947368421052,0.024096385542168676,0.0,0.140625,0.0,0.028846153846153848,0.015873015873015872,0.05,0.09230769230769233,0.023809523809523808,0.10714285714285712,0.0,0.04972375690607735,0.08219178082191779,1.0,0.17341040462427745,0.015873015873015872,0.015873015873015872,0.0,0.09230769230769233,0.0,0.0,0.0,0.017064846416382253,0.07792207792207792,0.018072289156626505,0.07594936708860758,0.04938271604938271,0.06474820143884892,0.08219178082191779,0.7611940298507462,0.140625,0.0,0.03409090909090909,0.0
Cerebral Cavernous Malformation,0.01282051282051282,0.021276595744680847,0.08490566037735849,1.0,0.028225806451612902,0.0,0.14893617021276595,0.013043478260869565,0.012295081967213115,0.03669724770642201,0.007905138339920946,0.0,0.01953125,0.1875,0.03537735849056604,0.025316455696202528,0.025735294117647058,0.0,0.028225806451612902,0.039473684210526314,0.012396694214876032,0.0,0.07352941176470588,0.04570383912248629,0.017605633802816902,0.0057405281285878304,0.0234375,0.04368932038834952,0.012295081967213115,0.05092592592592592,0.0,0.023346303501945526,0.04054054054054054,0.08490566037735849,0.04819277108433735,0.0057405281285878304,0.0057405281285878304,0.0,0.04368932038834952,0.0,0.10655737704918032,0.07868852459016394,0.0067415730337078645,0.0391304347826087,0.008264462809917356,0.038461538461538464,0.021008403361344536,0.02790697674418605,0.04054054054054054,0.057142857142857134,0.07352941176470588,0.0,0.01984126984126984,0.0
Hepatocellular Carcinoma,0.18556701030927836,0.06705539358600583,0.05813953488372093,0.028225806451612902,1.0,0.19148936170212763,0.0,0.06315789473684211,0.05882352941176471,0.0,0.1267605633802817,0.07964601769911504,0.19444444444444445,0.25,0.040697674418604654,0.350253807106599,0.3620689655172414,0.0,1.0,0.1595744680851064,0.0594059405940594,0.0,0.0975609756097561,0.0,0.07377049180327869,0.0379746835443038,0.3194444444444444,0.060240963855421686,0.05882352941176471,0.056818181818181816,0.0,0.2626728110599078,0.12087912087912088,0.05813953488372093,0.03349282296650718,0.0379746835443038,0.0379746835443038,0.0,0.5662650602409639,0.0,0.0,0.0,0.1232876712328767,0.05263157894736842,0.04455445544554455,0.2371134020618557,0.06060606060606061,0.08571428571428572,0.12087912087912088,0.04117647058823529,0.0975609756097561,0.0,0.25471698113207547,0.0
Liver Cirrhosis,0.06896551724137931,0.0,0.0,0.0,0.19148936170212763,1.0,0.0,0.0,0.0,0.0,0.05181347150259067,0.14563106796116504,0.061224489795918366,0.0,0.0,0.0,0.05660377358490566,0.0,0.19148936170212763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055384615384615386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333331,0.0
Intracranial Aneurysm,0.0,0.0,0.0,0.14893617021276595,0.0,0.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04308390022675737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12041884816753926,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung Cancer,0.06818181818181818,0.016286644951140065,0.025974025974025972,0.013043478260869565,0.06315789473684211,0.0,0.0,1.0,0.06451612903225806,0.0,0.04615384615384616,0.0,0.09090909090909091,0.28813559322033894,0.01948051948051948,0.5195530726256983,0.056074766355140186,0.15463917525773196,0.06315789473684211,0.17647058823529413,0.06521739130434782,0.0,0.041095890410958895,0.0,0.07964601769911504,0.6494522691705791,0.045454545454545456,0.02702702702702703,0.06451612903225806,0.025316455696202528,0.0,0.06030150753768844,0.024390243902439025,0.025974025974025972,0.015706806282722512,0.6494522691705791,0.6494522691705791,0.0,0.02702702702702703,0.0,0.0,0.0,0.045592705167173245,0.02325581395348837,0.04891304347826087,0.10227272727272728,0.25,0.01910828025477707,0.024390243902439025,0.01973684210526316,0.041095890410958895,0.0,0.09278350515463916,0.0
Bladder Cancer,0.06315789473684211,0.014925373134328356,0.023809523809523808,0.012295081967213115,0.05882352941176471,0.0,0.0,0.06451612903225806,1.0,0.0,0.0430622009569378,0.0,0.08490566037735849,0.2575757575757576,0.017857142857142856,0.046632124352331605,0.05263157894736842,0.0,0.05882352941176471,0.16304347826086957,0.2222222222222222,0.0,0.0375,0.0,0.225,0.03884892086330935,0.3679245283018868,0.02469135802469136,1.0,0.02325581395348837,0.0,0.056338028169014086,0.022471910112359546,0.023809523809523808,0.014634146341463415,0.03884892086330935,0.03884892086330935,0.0,0.02469135802469136,0.0,0.0,0.0,0.04201680672268908,0.021505376344086023,0.18181818181818185,0.09473684210526317,0.04639175257731959,0.017543859649122806,0.022471910112359546,0.018072289156626505,0.0375,0.0,0.08653846153846154,0.0
Multiple Sclerosis,0.0,0.0,0.0,0.03669724770642201,0.0,0.0,0.030303030303030304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022113022113022112,0.0,0.0,0.0,0.0,0.0,0.020547945205479447,0.0,0.0,0.0,0.0,0.01675977653631285,0.0,0.0,0.15789473684210523,0.0,0.1948051948051948,0.04597701149425287,0.025531914893617016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
